state,jurisdiction_name,geography_type,population,official_domain,planning_pages_found,directory_pages_found,staff_links_found,profile_links_followed,mailto_links_found,emails_found,candidate_titles_found,pages_fetched,search_queries_run,found_contact,final_rejection_reason,elapsed_seconds,cache_hits,cache_misses,profile_pages_followed,early_stop,max_page_limit_hit,timeout_count,fetch_error_count,resolver_method,search_results_seen,search_results_rejected,planning_fallback_used,planning_fallback_url,planning_fallback_attempted,planning_fallback_success,fetch_failures_by_url
WA,Federal Way,city,99232,www.federalwaywa.gov,1,2,4,0,17,18,0,7,0,yes,,17.24,8,15,0,yes,no,0,12,guess,0,0,no,,no,no,https://www.cityoffederalway.org/|status=0|err=connection_error|reason=ConnectError; https://cityoffederalway.org/|status=0|err=connection_error|reason=ConnectError; https://www.cityoffederalway.gov/|status=0|err=connection_error|reason=ConnectError; https://cityoffederalway.gov/|status=0|err=connection_error|reason=ConnectError; https://www.federalwaycity.org/|status=0|err=connection_error|reason=ConnectError; https://federalwaycity.org/|status=0|err=connection_error|reason=ConnectError; https://www.federalwaywa.gov/planning-and-zoning|status=404|err=http_error|reason=http_404; https://www.federalwaywa.gov/planning|status=404|err=http_error|reason=http_404; ...+7 more
WI,Kenosha,city,99147,www.kenoshacountywi.gov,0,0,0,0,0,0,0,0,3,no,no_planning_contact_found,34.03,0,10,0,no,no,0,20,planning_search_fallback,15,8,yes,https://www.kenoshacountywi.gov/766/Zoning-Land-Development,yes,no,https://www.cityofkenosha.org/|status=0|err=connection_error|reason=ConnectError; https://cityofkenosha.org/|status=0|err=connection_error|reason=ConnectError; https://www.cityofkenosha.gov/|status=0|err=connection_error|reason=ConnectError; https://cityofkenosha.gov/|status=0|err=connection_error|reason=ConnectError; https://www.kenoshacity.org/|status=0|err=connection_error|reason=ConnectError; https://kenoshacity.org/|status=0|err=connection_error|reason=ConnectError; https://www.kenoshawi.gov/|status=0|err=connection_error|reason=ConnectError; https://kenoshawi.gov/|status=0|err=connection_error|reason=ConnectError; ...+26 more
FL,Boca Raton,city,98833,www.bocaratonepc.org,1,1,3,0,1,1,0,4,3,no,only_generic_email_found,25.47,1,26,0,no,no,0,16,search_official,15,14,no,,no,no,https://www.cityofbocaraton.org/|status=0|err=connection_error|reason=ConnectError; https://cityofbocaraton.org/|status=0|err=connection_error|reason=ConnectError; https://www.cityofbocaraton.gov/|status=0|err=connection_error|reason=ConnectError; https://cityofbocaraton.gov/|status=0|err=connection_error|reason=ConnectError; https://www.bocaratoncity.org/|status=0|err=connection_error|reason=ConnectError; https://bocaratoncity.org/|status=0|err=connection_error|reason=ConnectError; https://www.bocaratonfl.gov/|status=0|err=connection_error|reason=ConnectError; https://bocaratonfl.gov/|status=0|err=connection_error|reason=ConnectError; ...+12 more
VA,Roanoke,city,98677,www.cityofroanoke.org,0,0,2,0,0,0,0,1,0,no,no_planning_contact_found,9.01,1,15,0,no,no,0,0,guess,0,0,no,,no,no,https://www.cityofroanoke.org/planning-and-zoning|status=404|err=http_error|reason=http_404; https://www.cityofroanoke.org/planning|status=404|err=http_error|reason=http_404; https://www.cityofroanoke.org/departments/planning|status=404|err=http_error|reason=http_404; https://www.cityofroanoke.org/community-development|status=404|err=http_error|reason=http_404; https://www.cityofroanoke.org/development-services|status=404|err=http_error|reason=http_404; https://www.cityofroanoke.org/staff|status=404|err=http_error|reason=http_404; https://www.cityofroanoke.org/directory|status=404|err=http_error|reason=http_404; https://www.cityofroanoke.org/Directory.aspx|status=404|err=http_error|reason=http_404; ...+6 more
OR,Beaverton,city,97502,www.beavertonoregon.gov,5,4,14,0,0,1,0,10,2,no,no_planning_contact_found,24.86,1,20,0,no,yes,0,20,search_official,10,5,no,,no,no,https://www.cityofbeaverton.org/|status=0|err=connection_error|reason=ConnectError; https://cityofbeaverton.org/|status=0|err=connection_error|reason=ConnectError; https://www.cityofbeaverton.gov/|status=0|err=connection_error|reason=ConnectError; https://cityofbeaverton.gov/|status=0|err=connection_error|reason=ConnectError; https://www.beavertoncity.org/|status=0|err=connection_error|reason=ConnectError; https://beavertoncity.org/|status=0|err=connection_error|reason=ConnectError; https://www.beavertonor.gov/|status=0|err=connection_error|reason=ConnectError; https://beavertonor.gov/|status=0|err=connection_error|reason=ConnectError; ...+2 more
VA,Portsmouth,city,97299,portsmouthva.org,5,3,0,0,0,0,0,10,0,no,no_planning_contact_found,46.54,1,17,0,no,yes,0,14,guess,0,0,no,,no,no,https://www.cityofportsmouth.org/|status=0|err=connection_error|reason=ConnectError; https://cityofportsmouth.org/|status=0|err=connection_error|reason=ConnectError; https://www.cityofportsmouth.gov/|status=0|err=connection_error|reason=ConnectError; https://cityofportsmouth.gov/|status=0|err=connection_error|reason=ConnectError; https://www.portsmouthcity.org/|status=0|err=connection_error|reason=ConnectError; https://portsmouthcity.org/|status=0|err=connection_error|reason=ConnectError; https://www.portsmouthva.gov/|status=0|err=robots_denied|reason=robots_txt_disallow; https://portsmouthva.gov/|status=0|err=robots_denied|reason=robots_txt_disallow; ...+1 more
WA,Yakima,city,96810,www.yakimawa.gov,0,0,0,0,0,0,0,0,3,no,no_planning_contact_found,44.44,0,6,0,no,no,2,10,planning_search_fallback,15,12,yes,https://www.yakimawa.gov/services/planning/,yes,no,https://www.cityofyakima.org/|status=0|err=connection_error|reason=ConnectError; https://cityofyakima.org/|status=0|err=connection_error|reason=ConnectError; https://www.yakimacity.org/|status=0|err=connection_error|reason=ConnectError; https://yakimacity.org/|status=0|err=connection_error|reason=ConnectError; https://www.yakimawa.gov/|status=0|err=robots_denied|reason=robots_txt_disallow; https://yakimawa.gov/|status=0|err=robots_denied|reason=robots_txt_disallow; https://www.yakimawa.org/|status=0|err=connection_error|reason=ConnectError; https://yakimawa.org/|status=0|err=timeout|reason=timeout; ...+16 more
VA,Suffolk,city,96638,www.suffolkvatax.us,5,3,0,0,0,0,0,10,1,no,no_planning_contact_found,21.07,1,20,0,no,yes,0,20,search_official,5,0,no,,no,no,https://www.cityofsuffolk.org/|status=0|err=connection_error|reason=ConnectError; https://cityofsuffolk.org/|status=0|err=connection_error|reason=ConnectError; https://www.cityofsuffolk.gov/|status=0|err=connection_error|reason=ConnectError; https://cityofsuffolk.gov/|status=0|err=connection_error|reason=ConnectError; https://www.suffolkcity.org/|status=0|err=connection_error|reason=ConnectError; https://suffolkcity.org/|status=0|err=connection_error|reason=ConnectError; https://www.suffolkva.gov/|status=0|err=connection_error|reason=ConnectError; https://suffolkva.gov/|status=0|err=connection_error|reason=ConnectError; ...+5 more
FL,Sunrise,city,96633,www.cityofsunrise.org,5,3,0,0,0,0,0,10,0,no,no_planning_contact_found,5.02,1,10,0,no,yes,0,0,guess,0,0,no,,no,no,
FL,Deltona,city,95682,www.deltonafl.gov,2,4,50,0,1,1,1,10,0,no,no_planning_contact_found,26.09,11,14,0,no,yes,0,12,guess,0,0,no,,no,no,https://www.cityofdeltona.org/|status=0|err=connection_error|reason=ConnectError; https://cityofdeltona.org/|status=0|err=connection_error|reason=ConnectError; https://www.cityofdeltona.gov/|status=0|err=connection_error|reason=ConnectError; https://cityofdeltona.gov/|status=0|err=connection_error|reason=ConnectError; https://www.deltonacity.org/|status=0|err=connection_error|reason=ConnectError; https://deltonacity.org/|status=0|err=connection_error|reason=ConnectError; https://www.deltonafl.gov/planning-and-zoning|status=404|err=http_error|reason=http_404; https://www.deltonafl.gov/planning|status=404|err=http_error|reason=http_404; ...+6 more
PA,Reading,city,94836,www.readingpa.gov,5,0,59,0,1,1,2,10,0,no,only_generic_email_found,27.22,11,17,0,no,yes,0,12,guess,0,0,no,,no,no,https://www.cityofreading.org/|status=0|err=connection_error|reason=ConnectError; https://cityofreading.org/|status=0|err=connection_error|reason=ConnectError; https://www.cityofreading.gov/|status=0|err=connection_error|reason=ConnectError; https://cityofreading.gov/|status=0|err=connection_error|reason=ConnectError; https://www.readingcity.org/|status=0|err=connection_error|reason=ConnectError; https://readingcity.org/|status=0|err=connection_error|reason=ConnectError; https://www.readingpa.gov/planning-and-zoning|status=404|err=http_error|reason=http_404; https://www.readingpa.gov/planning|status=404|err=http_error|reason=http_404; ...+9 more
FL,Palm Coast,city,94362,www.palmcoast.gov,2,0,2,0,9,5,1,2,1,yes,,49.56,3,10,0,yes,no,2,18,search_official,5,3,no,,no,no,https://www.cityofpalmcoast.org/|status=0|err=connection_error|reason=ConnectError; https://cityofpalmcoast.org/|status=0|err=connection_error|reason=ConnectError; https://www.cityofpalmcoast.gov/|status=0|err=connection_error|reason=ConnectError; https://cityofpalmcoast.gov/|status=0|err=connection_error|reason=ConnectError; https://www.palmcoastcity.org/|status=0|err=connection_error|reason=ConnectError; https://palmcoastcity.org/|status=0|err=connection_error|reason=ConnectError; https://www.palmcoastfl.gov/|status=0|err=connection_error|reason=ConnectError; https://palmcoastfl.gov/|status=0|err=connection_error|reason=ConnectError; ...+2 more
PA,Erie,city,94156,www.erie.pa.us,5,1,45,0,115,110,0,7,1,yes,,33.64,1,36,0,yes,no,0,20,search_official,5,2,no,,no,no,https://www.cityoferie.org/|status=0|err=connection_error|reason=ConnectError; https://cityoferie.org/|status=0|err=connection_error|reason=ConnectError; https://www.cityoferie.gov/|status=0|err=connection_error|reason=ConnectError; https://cityoferie.gov/|status=0|err=connection_error|reason=ConnectError; https://www.eriecity.org/|status=0|err=connection_error|reason=ConnectError; https://eriecity.org/|status=0|err=connection_error|reason=ConnectError; https://www.eriepa.gov/|status=0|err=connection_error|reason=ConnectError; https://eriepa.gov/|status=0|err=connection_error|reason=ConnectError; ...+21 more
MI,Livonia,city,94058,www.ci.livonia.mi.us,5,4,16,0,0,0,0,10,1,no,no_planning_contact_found,28.96,1,18,0,no,yes,0,16,search_official,5,2,no,,no,no,https://www.cityoflivonia.org/|status=0|err=connection_error|reason=ConnectError; https://cityoflivonia.org/|status=0|err=connection_error|reason=ConnectError; https://www.livoniacity.org/|status=0|err=connection_error|reason=ConnectError; https://livoniacity.org/|status=0|err=connection_error|reason=ConnectError; https://www.livoniami.gov/|status=0|err=connection_error|reason=ConnectError; https://livoniami.gov/|status=0|err=connection_error|reason=ConnectError; https://www.livoniami.org/|status=0|err=connection_error|reason=ConnectError; https://livoniami.org/|status=0|err=connection_error|reason=ConnectError
FL,Plantation,city,94002,www.plantation.org,0,0,0,0,0,0,0,0,3,no,no_planning_contact_found,18.62,0,10,0,no,no,0,20,planning_search_fallback,15,11,yes,https://www.plantation.org/government/departments/planning-zoning-economic-development/planning-zoning,yes,no,https://www.cityofplantation.org/|status=0|err=connection_error|reason=ConnectError; https://cityofplantation.org/|status=0|err=connection_error|reason=ConnectError; https://www.cityofplantation.gov/|status=0|err=connection_error|reason=ConnectError; https://cityofplantation.gov/|status=0|err=connection_error|reason=ConnectError; https://www.plantationcity.org/|status=0|err=connection_error|reason=ConnectError; https://plantationcity.org/|status=0|err=connection_error|reason=ConnectError; https://www.plantationfl.gov/|status=0|err=connection_error|reason=ConnectError; https://plantationfl.gov/|status=0|err=connection_error|reason=ConnectError; ...+18 more
GA,Roswell,city,92577,www.piedmonturgentcare.org,5,3,1,0,0,8,0,10,1,no,no_planning_contact_found,41.73,1,18,0,no,yes,0,16,search_official,5,4,no,,no,no,https://www.cityofroswell.org/|status=0|err=connection_error|reason=ConnectError; https://cityofroswell.org/|status=0|err=connection_error|reason=ConnectError; https://www.cityofroswell.gov/|status=0|err=connection_error|reason=ConnectError; https://cityofroswell.gov/|status=0|err=connection_error|reason=ConnectError; https://www.roswellcity.org/|status=0|err=connection_error|reason=ConnectError; https://roswellcity.org/|status=0|err=connection_error|reason=ConnectError; https://www.roswellga.gov/|status=0|err=connection_error|reason=ConnectError; https://roswellga.gov/|status=0|err=connection_error|reason=ConnectError; ...+2 more
