state,jurisdiction_name,geography_type,population,county_name,fips_state,fips_county,fips_place,official_website_url
CA,Merced,city,89766,,06,,46898,
MN,Bloomington,city,88838,,27,,06616,
CA,San Leandro,city,88531,,06,,68084,
NM,Santa Fe,city,88224,,35,,70500,
CA,Santa Barbara,city,88024,,06,,69070,
MI,Troy,city,87307,,26,,80700,
CA,Citrus Heights,city,87036,,06,,13588,
MN,Duluth,city,86863,,27,,17000,
FL,Deerfield Beach,city,86742,,12,,16725,
CA,Manteca,city,86521,,06,,45484,
TX,Temple,city,86358,,48,,72176,
TX,Mission,city,86234,,48,,48768,
TX,Bryan,city,86169,,48,,10912,
CT,Danbury,city,86086,,09,,18430,
CA,Hawthorne,city,85933,,06,,32548,
CA,Whittier,city,85925,,06,,85292,
CA,Livermore,city,85870,,06,,41992,
CA,Lake Forest,city,85846,,06,,39496,
OR,Medford,city,85794,,41,,47000,
CA,San Ramon,city,85734,,06,,68378,
FL,Melbourne,city,85718,,12,,43975,
TX,Baytown,city,84538,,48,,06128,
MN,Brooklyn Park,city,84349,,27,,07966,
CA,Newport Beach,city,84304,,06,,51182,
MI,Westland,city,84155,,26,,86000,
MI,Farmington Hills,city,83316,,26,,27440,
CA,Buena Park,city,83052,,06,,08786,
RI,Warwick,city,82871,,44,,74300,
TX,Longview,city,82765,,48,,43888,
RI,Cranston,city,82632,,44,,19180,
FL,Largo,city,82506,,12,,39425,
CA,Redwood City,city,82423,,06,,60102,
CA,Mountain View,city,82363,,06,,49670,
CA,Folsom,city,82140,,06,,24638,
GA,Johns Creek,city,82115,,13,,42425,
CA,Alhambra,city,81483,,06,,00884,
GA,Warner Robins,city,81438,,13,,80508,
FL,Miami Beach,city,81319,,12,,45025,
MI,Flint,city,80835,,26,,29000,
FL,Homestead,city,80725,,12,,32275,
CA,Rancho Cordova,city,80656,,06,,59444,
FL,Boynton Beach,city,80601,,12,,07875,
FL,North Port,city,80512,,12,,49675,
CA,Lakewood,city,80510,,06,,39892,
TX,Pharr,city,79809,,48,,57200,
MN,Plymouth,city,79526,,27,,51730,
FL,Kissimmee,city,79504,,12,,36950,
CA,Perris,city,79349,,06,,56700,
CA,Tustin,city,79035,,06,,80854,
CA,Upland,city,78940,,06,,81344,
CA,Napa,city,78816,,06,,50258,
TX,Georgetown,city,78803,,48,,29336,
CA,Milpitas,city,78216,,06,,47766,
CA,Chino Hills,city,78024,,06,,13214,
CA,Pleasanton,city,77500,,06,,57792,
TX,Cedar Park,city,77474,,48,,13552,
CA,Bellflower,city,77396,,06,,04982,
MN,Woodbury,city,76945,,27,,71428,
CA,Alameda,city,76876,,06,,00562,
MI,Wyoming,city,76865,,26,,88940,
FL,Doral,city,76490,,12,,17935,
MI,Rochester Hills,city,76086,,26,,69035,
MI,Southfield,city,76025,,26,,74900,
FL,Daytona Beach,city,75924,,12,,16525,
CA,Pittsburg,city,75868,,06,,57456,
TX,Mansfield,city,75398,,48,,46452,
RI,Pawtucket,city,75280,,44,,54640,
TX,Missouri City,city,75234,,48,,48804,
FL,Lauderhill,city,73961,,12,,39550,
CT,New Britain,city,73301,,09,,50370,
MI,Kalamazoo,city,73132,,26,,42160,
CA,Redlands,city,72985,,06,,59962,
MN,Lakeville,city,72480,,27,,35180,
CA,Turlock,city,72400,,06,,80812,
CA,Rocklin,city,72340,,06,,62364,
FL,Tamarac,city,71887,,12,,70675,
TX,Harlingen,city,71669,,48,,32372,
MO,St. Joseph,city,71542,,29,,64550,
CA,Lake Elsinore,city,71516,,06,,39486,
MN,Blaine,city,71261,,27,,06382,
DE,Wilmington,city,71124,,10,,77580,
MO,St. Charles,city,71048,,29,,64082,
CA,Baldwin Park,city,70720,,06,,03666,
CA,Dublin,city,70542,,06,,20018,
MN,Maple Grove,city,70539,,27,,40166,
TX,North Richland Hills,city,70338,,48,,52356,
CA,Camarillo,city,70244,,06,,10046,
CA,Eastvale,city,70179,,06,,21230,
CA,Tulare,city,69984,,06,,80644,
MN,St. Cloud,city,69926,,27,,56896,
CA,Redondo Beach,city,69814,,06,,60018,
CA,Walnut Creek,city,69790,,06,,83346,
CA,Yuba City,city,69545,,06,,86972,
TX,San Marcos,city,68920,,48,,65600,
MN,Eagan,city,68158,,27,,17288,
CA,Union City,city,68141,,06,,81204,
FL,Weston,city,67952,,12,,76582,
GA,Albany,city,67939,,13,,01052,
TX,Leander,city,67880,,48,,42016,
CA,Yorba Linda,city,67407,,06,,86832,
CA,Palo Alto,city,67231,,06,,55282,
CA,Madera,city,67133,,06,,45022,
CA,Lodi,city,67008,,06,,42202,
FL,Delray Beach,city,66940,,12,,17100,
CA,Davis,city,66801,,06,,18100,
GA,Alpharetta,city,66355,,13,,01696,
MI,Novi,city,66224,,26,,59440,
TX,Victoria,city,65514,,48,,75428,
CA,Lynwood,city,65291,,06,,44574,
TX,Pflugerville,city,65162,,48,,57176,
FL,Ocala,city,64903,,12,,50750,
CA,Brentwood,city,64609,,06,,08142,
CA,South San Francisco,city,64487,,06,,73262,
MN,Burnsville,city,64295,,27,,08794,
TX,Rowlett,city,64139,,48,,63572,
CA,Laguna Niguel,city,64023,,06,,39248,
FL,Port Orange,city,63818,,12,,58575,
CA,San Clemente,city,63510,,06,,65084,
MN,Coon Rapids,city,63348,,27,,13114,
MN,Eden Prairie,city,63249,,27,,18116,
CA,Porterville,city,62765,,06,,58240,
MI,Taylor,city,62405,,26,,79000,
FL,Sanford,city,62292,,12,,63650,
CA,La Habra,city,62233,,06,,39290,
MI,Dearborn Heights,city,62099,,26,,21020,
FL,St. Cloud,city,61963,,12,,62625,
MI,Pontiac,city,61914,,26,,65440,
GA,Marietta,city,61773,,13,,49756,
OR,Springfield,city,61642,,41,,69600,
CA,Encinitas,city,61585,,06,,22678,
CA,Montebello,city,61376,,06,,48816,
CA,Woodland,city,61256,,06,,86328,
CT,Bristol,city,61129,,09,,08420,
CA,Santa Cruz,city,60953,,06,,69112,
CA,La Mesa,city,60835,,06,,40004,
CA,Pico Rivera,city,60821,,06,,56924,
CA,San Rafael,city,60604,,06,,68364,
OR,Corvallis,city,60424,,41,,15800,
CT,Meriden,city,60418,,09,,46450,
TX,Euless,city,60373,,48,,24768,
GA,Stonecrest,city,59917,,13,,73784,
CA,Gardena,city,59765,,06,,28168,
FL,Palm Beach Gardens,city,59751,,12,,54075,
CA,Monterey Park,city,59639,,06,,48914,
CA,Santee,city,59485,,06,,70224,
FL,North Miami,city,59429,,12,,49450,
MO,Blue Springs,city,59416,,29,,06652,
CA,Hanford,city,59389,,06,,31960,
CA,Petaluma,city,59321,,06,,56784,
TX,Wylie,city,58991,,48,,80356,
CA,Cupertino,city,58886,,06,,17610,
CA,Gilroy,city,58561,,06,,29504,
FL,Margate,city,58418,,12,,43125,
NV,Carson,city,58364,,32,,09700,
MI,St. Clair Shores,city,58287,,26,,70760,
MO,St. Peters,city,58200,,29,,65126,
MI,Royal Oak,city,57880,,26,,70040,
FL,Coconut Creek,city,57587,,12,,13275,
GA,Brookhaven,city,57224,,13,,10944,
OR,Albany,city,56773,,41,,01000,
CA,Highland,city,56690,,06,,33588,
CA,Fountain Valley,city,56358,,06,,25380,
FL,Bradenton,city,56289,,12,,07950,
GA,Smyrna,city,56285,,13,,71492,
FL,Sarasota,city,56218,,12,,64175,
FL,Apopka,city,56202,,12,,01700,
CA,National City,city,55960,,06,,50398,
TX,DeSoto,city,55896,,48,,20092,
TX,Port Arthur,city,55779,,48,,58820,
MN,Apple Valley,city,55696,,27,,01900,
CA,Arcadia,city,55550,,06,,02462,
OR,Tigard,city,55395,,41,,73650,
GA,Valdosta,city,55222,,13,,78800,
