state,jurisdiction_name,geography_type,population,rejection_reason,email_found,source_urls,notes,official_site_found,planning_page_found,pages_fetched_count,pdfs_fetched_count,raw_emails_found_count,generic_emails_found_count,candidate_titles_found_count,direct_email_candidates_count,best_rejection_reason,search_urls_found,search_urls_fetched,manual_url_used,manual_url_result,candidate_source_url,email_source_url,discovery_method,jurisdiction_match_notes,candidate_name,candidate_title
PA,Erie,city,94156,no_planning_contact_found,,https://www.erie.gov/,raw_emails=; generic=,yes,no,1,0,0,0,0,0,no_planning_contact_found,0,0,,,,,,,,
WA,Richland,city,61912,no_official_site_found,,,Could not resolve official website (guess + one search),no,no,0,0,0,0,0,0,no_official_site_found,5,0,,,,,,,,
MT,Great Falls,city,60412,no_planning_contact_found,,https://www.greatfallsmt.gov/directory; https://www.greatfallsmt.gov/Directory.aspx; https://www.greatfallsmt.gov/Directory.aspx?did=34; https://www.greatfallsmt.gov/directory.aspx?EID=245; https://www.greatfallsmt.gov/directory.aspx?EID=132; https://www.greatfallsmt.gov/directory.aspx?EID=129; https://www.greatfallsmt.gov/286/Planning-and-Community-Development; https://www.greatfallsmt.gov/616/Planning-Zoning,raw_emails=; generic=,yes,yes,10,0,0,0,4,0,no_planning_contact_found,0,0,,,,,,,,
WI,West Allis,city,59588,no_official_site_found,,,Could not resolve official website (guess + one search),no,no,0,0,0,0,0,0,no_official_site_found,5,0,,,,,,,,
WA,Shoreline,city,59280,no_official_site_found,,,Could not resolve official website (guess + one search),no,no,0,0,0,0,0,0,no_official_site_found,5,0,,,,,,,,
PA,Lancaster,city,57683,no_official_site_found,,,Could not resolve official website (guess + one search),no,no,0,0,0,0,0,0,no_official_site_found,5,0,,,,,,,,
WA,Olympia,city,55583,no_official_site_found,,,Could not resolve official website (guess + one search),no,no,0,0,0,0,0,0,no_official_site_found,5,0,,,,,,,,
GA,Valdosta,city,55222,no_official_site_found,,,Could not resolve official website (guess + one search),no,no,0,0,0,0,0,0,no_official_site_found,5,0,,,,,,,,
MT,Bozeman,city,55042,no_official_site_found,,,Could not resolve official website (guess + one search),no,no,0,0,0,0,0,0,no_official_site_found,5,0,,,,,,,,
FL,Bonita Springs,city,54830,no_official_site_found,,,Could not resolve official website (guess + one search),no,no,0,0,0,0,0,0,no_official_site_found,5,0,,,,,,,,
MI,Kentwood,city,54114,no_official_site_found,,,Could not resolve official website (guess + one search),no,no,0,0,0,0,0,0,no_official_site_found,5,0,,,,,,,,
FL,Pensacola,city,54011,no_official_site_found,,,Could not resolve official website (guess + one search),no,no,0,0,0,0,0,0,no_official_site_found,5,0,,,,,,,,
FL,Winter Haven,city,52846,no_official_site_found,,,Could not resolve official website (guess + one search),no,no,0,0,0,0,0,0,no_official_site_found,5,0,,,,,,,,
MI,Battle Creek,city,52392,no_planning_contact_found,,https://www.battlecreekmi.gov/planning; https://www.battlecreekmi.gov/212/Planning-Zoning; https://www.battlecreekmi.gov/181/Community-Development; https://www.battlecreekmi.gov/354/Neighborhood-Planning-Councils; https://www.battlecreekmi.gov/386/Neighborhood-Planning-Council-Reports; https://www.battlecreekmi.gov/directory; https://www.battlecreekmi.gov/Directory.aspx; https://www.battlecreekmi.gov/72/Employees-Only,"raw_emails=hhguzzo@battlecreekmi.gov, intake@battlecreekmi.gov, testold@domain.org; generic=",yes,yes,10,0,3,0,0,0,no_planning_contact_found,0,0,,,,,,,,
WI,La Crosse,city,51791,no_official_site_found,,,Could not resolve official website (guess + one search),no,no,0,0,0,0,0,0,no_official_site_found,5,0,,,,,,,,
GA,Dunwoody,city,51563,no_official_site_found,,,Could not resolve official website (guess + one search),no,no,0,0,0,0,0,0,no_official_site_found,5,0,,,,,,,,
WA,Burien,city,51331,no_official_site_found,,,Could not resolve official website (guess + one search),no,no,0,0,0,0,0,0,no_official_site_found,5,0,,,,,,,,
CT,Milford city (balance),city,50749,no_official_site_found,,,Could not resolve official website (guess + one search),no,no,0,0,0,0,0,0,no_official_site_found,5,0,,,,,,,,
PA,Harrisburg,city,50092,no_official_site_found,,,Could not resolve official website (guess + one search),no,no,0,0,0,0,0,0,no_official_site_found,5,0,,,,,,,,
FL,Coral Gables,city,49243,no_official_site_found,,,Could not resolve official website (guess + one search),no,no,0,0,0,0,0,0,no_official_site_found,5,0,,,,,,,,
FL,Titusville,city,49004,no_planning_contact_found,,https://www.titusvillefl.us/,raw_emails=; generic=,yes,no,1,0,0,0,0,0,no_planning_contact_found,0,0,,,,,,,,
FL,Fort Pierce,city,48094,no_official_site_found,,,Could not resolve official website (guess + one search),no,no,0,0,0,0,0,0,no_official_site_found,5,0,,,,,,,,
FL,Ocoee,city,47885,no_official_site_found,,,Could not resolve official website (guess + one search),no,no,0,0,0,0,0,0,no_official_site_found,5,0,,,,,,,,
WI,Wauwatosa,city,47718,no_official_site_found,,,Could not resolve official website (guess + one search),no,no,0,0,0,0,0,0,no_official_site_found,5,0,,,,,,,,
CT,Middletown,city,47646,no_planning_contact_found,,https://www.middletownct.gov/directory; https://www.middletownct.gov/Directory.aspx; https://www.middletownct.gov/Directory.aspx?did=11; https://www.middletownct.gov/Directory.aspx?did=12; https://www.middletownct.gov/; https://www.middletownct.gov/171/Finance-Department; https://www.middletownct.gov/172/Purchasing-Department; https://www.middletownct.gov/156/Departments-A---F,"raw_emails=cbillings@russelllibrary.orgsponsored, diana.doyle@middletownct.gov, necole.carr@middletownct.gov, carl.erlacher@middletownct.gov, nikoleta.mctigue@middletownct.gov; generic=",yes,yes,10,0,6,0,1,0,no_planning_contact_found,0,0,,,,,,,,
MI,Roseville,city,47240,no_official_site_found,,,Could not resolve official website (guess + one search),no,no,0,0,0,0,0,0,no_official_site_found,5,0,,,,,,,,
FL,Winter Garden,city,47182,no_official_site_found,,,Could not resolve official website (guess + one search),no,no,0,0,0,0,0,0,no_official_site_found,5,0,,,,,,,,
RI,East Providence,city,46970,no_official_site_found,,,Could not resolve official website (guess + one search),no,no,0,0,0,0,0,0,no_official_site_found,5,0,,,,,,,,
VA,Charlottesville,city,45863,no_planning_contact_found,,https://www.charlottesville.gov/directory; https://www.charlottesville.gov/Directory.aspx; https://www.charlottesville.gov/Directory.aspx?did=244; https://www.charlottesville.gov/formcenter/Boards-Commissions-37/Email-Contact-Form-for-Planning-Commissi-230; https://www.charlottesville.gov/Directory.aspx?did=262; https://www.charlottesville.gov/; https://www.charlottesville.gov/contact,raw_emails=; generic=,yes,yes,7,0,0,0,1,0,no_planning_contact_found,0,0,,,,,,,,
FL,Altamonte Springs,city,45657,no_official_site_found,,,Could not resolve official website (guess + one search),no,no,0,0,0,0,0,0,no_official_site_found,5,0,,,,,,,,
MI,East Lansing,city,45394,no_official_site_found,,,Could not resolve official website (guess + one search),no,no,0,0,0,0,0,0,no_official_site_found,5,0,,,,,,,,
FL,Clermont,city,44984,no_planning_contact_found,,https://www.clermontfl.gov/directory; https://www.clermontfl.gov/Directory.aspx; https://www.clermontfl.gov/Directory.aspx?did=28; https://www.clermontfl.gov/Directory.aspx?did=44; https://www.clermontfl.gov/; https://www.clermontfl.gov/149/Departments; https://www.clermontfl.gov/173/Planning-Division-Development-Review; https://www.clermontfl.gov/178/Zoning-Division,raw_emails=businesstax@clermontfl.org; generic=,yes,yes,10,0,1,0,0,0,no_planning_contact_found,0,0,,,,,,,,
